metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0145,+3.7138,0.0003,***,120
Accuracy,higher is better,BC vs Baseline,+0.0138,+3.4858,0.0007,***,120
Accuracy,higher is better,CC vs Baseline,-0.0033,-0.6672,0.5060,,120
Accuracy,higher is better,RB vs BC,+0.0006,+1.1593,0.2486,,120
Accuracy,higher is better,RB vs CC,+0.0177,+5.2269,7.46e-07,***,120
TVD,lower is better,RB vs Baseline,-0.0362,-4.9645,2.32e-06,***,120
TVD,lower is better,BC vs Baseline,-0.0373,-5.3188,4.97e-07,***,120
TVD,lower is better,CC vs Baseline,+0.0193,+1.8422,0.0679,,120
TVD,lower is better,RB vs BC,+0.0011,+0.8343,0.4058,,120
TVD,lower is better,RB vs CC,-0.0555,-6.6250,1.06e-09,***,120
RSD,lower is better,RB vs Baseline,-0.0401,-3.6224,0.0004,***,120
RSD,lower is better,BC vs Baseline,-0.0417,-3.7487,0.0003,***,120
RSD,lower is better,CC vs Baseline,+0.0361,+2.3650,0.0196,*,120
RSD,lower is better,RB vs BC,+0.0017,+0.8945,0.3728,,120
RSD,lower is better,RB vs CC,-0.0762,-6.4368,2.68e-09,***,120
