metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0262,+6.6940,7.54e-10,***,120
Accuracy,higher is better,BC vs Baseline,+0.0246,+6.3394,4.30e-09,***,120
Accuracy,higher is better,CC vs Baseline,-0.0027,-0.4894,0.6255,,120
Accuracy,higher is better,RB vs BC,+0.0017,+3.5409,0.0006,***,120
Accuracy,higher is better,RB vs CC,+0.0290,+7.6653,5.33e-12,***,120
TVD,lower is better,RB vs Baseline,-0.0776,-6.9242,2.39e-10,***,120
TVD,lower is better,BC vs Baseline,-0.0816,-7.3821,2.31e-11,***,120
TVD,lower is better,CC vs Baseline,+0.0141,+1.3760,0.1714,,120
TVD,lower is better,RB vs BC,+0.0040,+3.1052,0.0024,**,120
TVD,lower is better,RB vs CC,-0.0917,-11.0219,6.74e-20,***,120
RSD,lower is better,RB vs Baseline,-0.1162,-5.9816,2.38e-08,***,120
RSD,lower is better,BC vs Baseline,-0.1204,-6.2879,5.52e-09,***,120
RSD,lower is better,CC vs Baseline,+0.0187,+1.0578,0.2923,,120
RSD,lower is better,RB vs BC,+0.0043,+2.5565,0.0118,*,120
RSD,lower is better,RB vs CC,-0.1348,-9.9598,2.31e-17,***,120
